,edu,exp,id,mar,offer,owage,time,work
487,2,0,97,0,0,70658.27511999698,2,0
488,2,0,97,0,0,28574.986689778256,3,0
489,2,0,97,0,0,-inf,4,0
490,2,0,98,0,0,29171.85360690686,0,0
491,2,0,98,0,1,110860.03970115856,1,1
492,2,1,98,0,1,93997.09374608516,2,1
493,2,2,98,0,1,96209.9612491904,3,1
494,2,3,98,0,0,-inf,4,0
495,2,0,99,0,1,166413.22544340754,0,1
496,2,1,99,0,1,4652.279124345597,1,0
497,2,1,99,0,0,4717.13537191694,2,0
498,2,1,99,0,0,462296.0229583439,3,0
499,2,1,99,0,0,-inf,4,0
500,0,0,100,0,0,9562.812019890223,0,0
501,0,0,100,0,1,42794.73264710032,1,1
502,0,1,100,0,1,42304.955763025,2,1
503,0,2,100,0,1,20577.54252267244,3,1
504,0,3,100,0,0,-inf,4,0
505,0,0,101,0,1,4558.2275425048,0,0
506,0,0,101,0,0,11449.60513756717,1,0
507,0,0,101,0,0,58199.77702838441,2,0
508,0,0,101,0,0,7634.260631509656,3,0
509,0,0,101,0,0,-inf,4,0
510,0,0,102,0,0,10973.65994074997,0,0
511,0,0,102,0,1,14127.583833116718,1,1
512,0,1,102,0,1,14038.237356808211,2,0
513,0,1,102,0,0,14103.2897269668,3,0
514,0,1,102,0,0,-inf,4,0
515,0,0,103,0,0,29273.63776964553,0,0
516,0,0,103,0,0,11619.940650940554,1,0
517,0,0,103,0,1,14747.379948494188,2,1
518,0,1,103,0,1,25185.150986665612,3,1
519,0,2,103,0,0,-inf,4,0
520,0,0,104,0,1,17121.482655872867,0,0
521,0,0,104,0,1,57337.20383246706,1,1
522,0,1,104,0,1,9692.48591025177,2,0
523,0,1,104,0,0,7782.7879134558025,3,0
524,0,1,104,0,0,-inf,4,0
525,0,0,105,0,1,35141.65630930496,0,0
526,0,0,105,0,1,13011.480244338463,1,1
527,0,1,105,0,1,36167.27583834407,2,1
528,0,2,105,0,1,9897.37716304009,3,0
529,0,2,105,0,0,-inf,4,0
530,0,0,106,0,0,57642.011147530895,0,0
531,0,0,106,0,0,77154.97264467427,1,0
532,0,0,106,0,0,28792.207061824476,2,0
533,0,0,106,0,0,35031.86369353775,3,0
534,0,0,106,0,0,-inf,4,0
535,0,0,107,0,1,49453.3620626392,0,1
536,0,1,107,0,1,31173.400036862935,1,1
537,0,2,107,0,1,40377.66054558104,2,1
538,0,3,107,0,1,396007.87840358797,3,1
539,0,4,107,0,0,-inf,4,0
540,0,0,108,0,0,322941.67985616514,0,0
541,0,0,108,0,1,102483.27863746326,1,1
542,0,1,108,0,1,7175.021042957358,2,0
543,0,1,108,0,0,24698.90972596053,3,0
544,0,1,108,0,0,-inf,4,0
545,0,0,109,0,0,41149.47680682792,0,0
546,0,0,109,0,0,89618.98013698832,1,0
547,0,0,109,0,0,82985.28282322592,2,0
548,0,0,109,0,1,8021.934436863244,3,0
549,0,0,109,0,0,-inf,4,0
550,0,0,110,1,0,32020.79045619842,0,0
551,0,0,110,1,0,8362.833586779063,1,0
552,0,0,110,1,1,26716.658761567876,2,0
553,0,0,110,1,0,105173.33927412602,3,0
554,0,0,110,1,0,-inf,4,0
555,0,0,111,1,0,7467.59368015791,0,0
556,0,0,111,1,1,10159.410572889974,1,0
557,0,0,111,1,0,11247.782556428865,2,0
558,0,0,111,1,0,17687.18877209626,3,0
559,0,0,111,1,0,-inf,4,0
560,0,0,112,1,1,131312.96473000414,0,1
561,0,1,112,1,1,15557.744457950508,1,1
562,0,2,112,1,1,36241.3956045984,2,1
563,0,3,112,1,1,44404.763578152764,3,1
564,0,4,112,1,0,-inf,4,0
565,0,0,113,1,1,2239.1566806827304,0,0
566,0,0,113,1,1,9329.905904626847,1,0
